Nombre,Producto/Servicio,Fecha detectamos necesidad,Fecha de envío de propuesta,Estado,País,Moneda,Monto,Fee mensual o unica vez
FeelFree ,"-Consultoría de Negocio
-Consultoría Técnica
-Consultoría de Marketing
-Consultoría Legal 
*Precio por cantidad de horas: 
OPCIÓN 1: Bolsa 20
Horas: 20 horas
Valor: € 1.900.-
OPCIÓN 2: Bolsa 40
Horas: 40 horas
Valor: € 3.400.-

",,3/09/2024,Enviada,España,EUR,"3.400,00",
"Race Resoult
V1 - V2",Consultoría comercial - 600,,,Perdida (Nicea),,USD,"600,00",
Real Estate - Colombia,"Fase 1: Análisis inicial y adaptación del proyecto
Fase 2: UX Writing
Fase 3: Diseño UX/UI 
Fase 4: Desarrollo Web 
Fase 5: SEO on-site y optimización de rendimiento
Fase 6: Registro de dominio y configuración técnica
10000",,14/09,Perdida (Nicea),España,EUR,"10.000,00",
Joyas uruguay,"-Propuesta de desarrollo de e-commerce 3200
- Estrategia digital y gestión de publicidad 1500
",,15/10,Perdida (Nicea),Uruguay,USD,"3.500,00",
Mantenimiento evolutivos Mi tienda de gafas,"-Continuidad de pauta publicitaria 400
-Acompañamiento estratégico -consultoría 20 hs./mes 200
",,4/11,Enviada,,USD,"600,00",fee mensual
CLAEH ,"- Mantenimiento Web 600
- Paid Media 800
",,31/10/2024,Enviada,Uruguay,USD,"1.400,00",fee mensual
Aispurú,"Auditoría SEO y Web - 500
Estrategia SEM - 1200
Estrategia SEO - 650
Estrategia Digital- 1300
Implementación de CRM - 5500
",,19/10/2024,Enviada,Uruguay,USD,"9.150,00",fee mensual
SmartFran Render,"-Diseño de Renders de la oficina con nuevo logo. - 1000 
-Desarrollo de Brand (logo y aplicación digital). - 800 ",,1/11/2024,Enviada,Argentina,USD,"1.800,00",unica vez
Propuesta Gobierno de Córdoba ,"-Actualización de plugins de WordPress - 600
-Mejoras en usabilidad: (revisión de experiencia de usuarios, optimización según PageSpeed Insights, entrega de informe con resultados) 200
",,08/11/2024,Aceptada 100 (Nicea),Argentina,USD,"800,00",unica vez
Distrito 52 - Hubspot,Implementación hubspot,,,Aceptada 100 (Nicea),Argentina,USD,"5.500,00",unica vez
Daddy Bebidas,"Gestión de redes, Pauta",,,Perdida (Nicea),Argentina,USD,"1.300,00",recurrente
Alejandra Marun,"Diseño gráfico 
y branding

Análisis de resultados
 y reporte


Desarrollo y gestión de 
redes sociales

Publicidad 
Digital
",,,Perdida (Nicea),Argentina,USD,"1.100,00",recurrente
Consultor BIM - landing,,,,Enviada,España,EUR,"900,00",unica vez
Latamly - Diseño gráficos,,,,Enviada,Argentina,USD,"3.400,00",fee mensual
2025,,,,,,,,
Sersana,"Desarrollo web (opciones en wordpress o shopify), con redacción.",,5/1,Aceptada 100 (Nicea),España,USD,"3.500,00",unica vez + mantenimiento de 500 usd
Aleph  - NEO-,Popuesta de partner a NEO con múltiples ítems. Como agencia para Aleph,,7/2,Enviada,Perú,USD,"4.500,00",fee mensual
Sanatorio La Cañada - Web,"Desarrollo sitio web:  informacional, atención y rendimiento",,22/01,Enviada,Argentina,USD,"8.000,00",unica vez + mantenimiento de 750 usd
Gulf / Axion ,Propuesta de Agencia: Gulf 7800 | Axion 8400,,15/01,Perdida (Nicea),Argentina,USD,"16.200,00",
Conmebol,Servicios de agencia,,,,,,,
CLAEH,Mantenimiento web + paid media,,,Enviada,Uruguay,USD,"1.498,00",fee mensual
Surco Haus,Diagnóstico SEO + paid media,,20/01,Enviada,España,EUR,1170,
Surco Haus,Mantenimiento wen + generación de contenifo,,24/01,Enviada,España,EUR,900,
Nameless,Desarrollo web,,30/01,Perdida (Nicea),España,EUR,"4.100,00",
Gulf y Axion reducido,Propuesta de Agencia: Gulf 5244 | Axion 5428,,02/02,Enviada,Argentina,USD,"10.672,00",
SmartFran,Diseño gráfico,,30/01,Enviada,Argentina,USD,"320,00",fee
AV Inversiones,"✅ Implementación de CRM HubSpot, centralizando la información y optimizando el flujo comercial.
✅ Estrategia de Publicidad Digital, con campañas segmentadas en Google Ads y Meta.
✅ Consultoría en Growth Marketing, para maximizar la conversión de leads y optimizar el rendimiento de las acciones digitales.",,2/2/25,Enviada,Chile,USD,"4.500,00",4500 unica vez + growth 350 + pauta 900
NEO - Desarrollo Strapi,"Desarrollo backend y API en Strapi con arquitectura optimizada.
Desarrollo frontend para la integración de la plataforma.
Pruebas de calidad (QA) para asegurar el correcto funcionamiento.
Gestión de autenticación y permisos en Strapi.
Integraciones con servicios externos (Salesforce, si aplica)
Optimización de rendimiento y accesibilidad.
Despliegue en producción y soporte post-lanzamiento durante los primeros 30 días.
Capacitación para la gestión del CMS.",,5/2/25,Aceptada (Nicea),Perú,USD,"11.760,00",
NEO - Desarrollo Strapi,Carga contenido web + mapa de etiquetado ,,18/2/25,Enviada,Perú,USD,"2.600,00",
Sersana desarrollo de APP,de la web aprobada,,,pendiente que envíen cotización,,,,
Aruma -e-commerce de belleza  - NEO-,Desarrollo VTEX: react +node (Con Juan / Cece),,,Perdida (Nicea),,,,
Byphasse ,Performance ,,,falta armar cotización,,,,
Auditoría - NEO - ,e-commerce con micro servicios (Con Cece),,,,,,,
Inthegra - Mariano Vocos,Servicios de Marketing Digital,,,,,,,
SmartFran - frontend SmartFran Cloud,Diseño + Desarrollo (https://dotnet.microsoft.com/es-es/apps/aspnet/web-apps/blazor ),,,pausado,,,,
Cliente de Ecommerce Assessment Seguros - NEO-,"Assessment técnico de microservicios actualmente implementado en e-commerce. Desarrollo y avances front / back, de acuerdo a la tecnología o plataforma que se acuerde.( con cece)",,,,,,,
Natura - NEO - ,enviamos el brief exploratorio el 28/02,,,,,,,
Tequila,"Desarrollo Web + Ecommerce
Opcionales: carga de productos y mantenimiento web",25/02,28/02,Enviada,Enviada,EUR,"5.400,00","El valor de unica vez es la web a 4900.
Opcinales carga de productos: 200
Opcionales mantenimiento: 300"
Kairos,"Desarrollo Web + Mantenimiento.
Opcionales: SEO+ Paid media",25/02,28/02,Enviada,Enviada,EUR,"5.800,00","El valor de unica vez es la web a 4200. Luego mantenimiento es fee de 300
SEO fee de 500
Pauta fee de 800"
Dayco,armar brief. Posibles servicios: power BI o Loocker ,27/02,,,,,,
,,,,,,,,
,,,,,,,,
Tareas: completar y hacer tablero de loocker,,,,,,,,
cuantas - sobre qué - ganadas,,,,,,,,
